date,views,title
2020-02-23,4262,Chess
2020-02-24,4305,Chess
2020-02-25,4549,Chess
2020-02-26,4222,Chess
2020-02-27,4373,Chess
2020-02-28,4224,Chess
2020-02-29,4143,Chess
2020-03-01,4413,Chess
2020-03-02,4414,Chess
2020-03-03,4216,Chess
2020-03-04,4258,Chess
2020-03-05,4158,Chess
2020-03-06,4504,Chess
2020-03-07,4456,Chess
2020-03-08,4256,Chess
2020-03-09,4551,Chess
2020-03-10,4004,Chess
2020-03-11,3883,Chess
2020-03-12,4094,Chess
2020-03-13,3997,Chess
2020-03-14,3662,Chess
2020-03-15,3953,Chess
2020-03-16,4600,Chess
2020-03-17,4012,Chess
2020-03-18,4178,Chess
2020-03-19,3982,Chess
2020-03-20,4662,Chess
2020-03-21,4554,Chess
2020-03-22,4896,Chess
2020-03-23,5053,Chess
2020-03-24,5416,Chess
2020-03-25,5300,Chess
2020-03-26,5006,Chess
2020-03-27,5167,Chess
2020-03-28,5458,Chess
2020-03-29,5698,Chess
2020-03-30,5441,Chess
2020-03-31,5366,Chess
2020-04-01,5656,Chess
2020-04-02,5619,Chess
2020-04-03,5254,Chess
2020-04-04,5525,Chess
2020-04-05,5783,Chess
2020-04-06,5150,Chess
2020-04-07,5687,Chess
2020-04-08,5399,Chess
2020-04-09,5458,Chess
2020-04-10,5715,Chess
2020-04-11,5767,Chess
2020-04-12,5957,Chess
2020-04-13,5929,Chess
2020-04-14,6364,Chess
2020-04-15,5601,Chess
2020-04-16,5131,Chess
2020-04-17,5865,Chess
2020-04-18,6215,Chess
2020-04-19,6032,Chess
2020-04-20,5909,Chess
2020-04-21,5711,Chess
2020-04-22,5476,Chess
2020-04-23,5494,Chess
2020-04-24,5945,Chess
2020-04-25,5860,Chess
2020-04-26,6049,Chess
2020-04-27,5827,Chess
2020-04-28,5946,Chess
2020-04-29,5721,Chess
2020-04-30,5769,Chess
2020-05-01,5654,Chess
2020-05-02,5771,Chess
2020-05-03,5721,Chess
2020-05-04,5604,Chess
2020-05-05,5850,Chess
2020-05-06,5538,Chess
2020-05-07,5443,Chess
2020-05-08,5293,Chess
